run_id,label,total_events,duration_sec,events_per_sec,inter_event_mean,inter_event_std,burst_max_per_sec,burstiness,distinct_dest_ports,distinct_src_ports,ports_per_event,frac_on_top_port,distinct_protocols,n_login_fail,n_login_success,n_commands,n_command_failed,n_sessions,n_file_downloads,distinct_commands,n_auth_other,n_http_events,n_web_80,n_web_8080,distinct_web_paths,n_suricata_alerts,n_suricata_flows,n_alert_sev_high,n_alert_sev_info,distinct_signatures,any_login_attempt,any_login_success,any_command_run,any_file_download,any_web_request
D009,denial_of_service,94569,82.0,1153.2805,0.0009,0.1604,7325,2.711,1,19275,1e-05,1.0,1,0,0,0,0,0,0,0,0,0,0,94569,0,15625,15554,1,15624,3,0,0,0,0,0
D010,denial_of_service,22613,21.0,1076.8095,0.0009,0.0305,1901,1.849,1,22613,4e-05,1.0,1,0,0,0,0,0,0,0,0,0,22613,0,0,0,22613,0,0,0,0,0,0,0,0
D011,denial_of_service,56816,82.0,692.878,0.0014,0.207,3402,2.096,2,18939,4e-05,1.0,3,0,0,0,0,0,0,0,0,0,0,0,0,37877,18939,1,37876,3,0,0,0,0,0
D012,denial_of_service,51831,83.0,624.4699,0.0016,0.2124,4431,3.163,1,12746,2e-05,1.0,1,0,0,0,0,0,0,0,0,0,51831,0,0,39085,12746,13593,25492,3,0,0,0,0,0
D013,denial_of_service,55936,82.0,682.1463,0.0015,0.2086,3274,2.049,1,18645,2e-05,1.0,1,0,0,0,0,0,0,0,0,0,0,0,0,37291,18645,1,37290,3,0,0,0,0,0
D014,denial_of_service,15100,15.0,1006.6667,0.001,0.0315,1580,1.674,1,15100,7e-05,1.0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,15100,0,0,0,0,0,0,0,0
D015,denial_of_service,15102,45.0,335.6,0.003,0.2461,1577,1.775,1,15100,7e-05,1.0,2,0,0,0,0,0,0,0,0,0,0,0,0,2,15100,2,0,2,0,0,0,0,0
D016,denial_of_service,15101,49.0,308.1837,0.0032,0.2546,1531,2.028,1,15100,7e-05,1.0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,15100,1,0,1,0,0,0,0,0
D017,denial_of_service,15100,15.0,1006.6667,0.001,0.0315,1539,1.631,1,15100,7e-05,1.0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,15100,0,0,0,0,0,0,0,0
D018,denial_of_service,15101,15.0,1006.7333,0.001,0.0315,1588,1.683,2,15101,0.00013,0.9999,3,0,0,0,0,0,0,0,0,0,0,0,0,0,15101,0,0,0,0,0,0,0,0
D019,denial_of_service,15100,17.0,888.2353,0.0011,0.0335,1558,1.857,1,15100,7e-05,1.0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,15100,0,0,0,0,0,0,0,0
D020,denial_of_service,6408,78.0,82.1538,0.0122,0.3861,1068,7.667,1,685,0.00016,1.0,2,0,0,0,0,0,0,0,0,565,6408,0,1,1,105,1,0,1,0,0,0,0,1
D021,denial_of_service,19446,81.0,240.0741,0.0042,0.2353,1369,3.45,2,2248,0.0001,0.9992,2,0,0,0,0,0,0,0,0,0,16,19430,0,6,983,0,6,2,0,0,0,0,0
D022,denial_of_service,30153,94.0,320.7766,0.0031,0.1055,1949,5.106,1,2985,3e-05,1.0,2,0,0,0,0,0,0,0,0,2776,30153,0,1,0,1738,0,0,0,0,0,0,0,1
D023,denial_of_service,15862,79.0,200.7848,0.005,0.2522,936,2.95,1,1757,6e-05,1.0,2,0,0,0,0,0,0,0,0,1723,15862,0,12,161,518,0,161,3,0,0,0,0,1
D024,denial_of_service,18681,79.0,236.4684,0.0042,0.2254,1051,2.869,1,2271,5e-05,1.0,2,0,0,0,0,0,0,0,0,0,0,18681,0,736,437,1,735,6,0,0,0,0,0
D025,denial_of_service,23083,89.0,259.3596,0.0039,0.1484,1273,3.86,1,2546,4e-05,1.0,2,0,0,0,0,0,0,0,0,2350,23083,0,14,502,1025,0,502,16,0,0,0,0,1
D026,denial_of_service,9334,184.0,50.7283,0.0197,0.2866,1042,9.601,3,1524,0.00032,0.9996,4,0,0,0,0,0,0,0,0,5,9330,3,1,367,698,0,367,12,0,0,0,0,1
D027,denial_of_service,9502,185.0,51.3622,0.0195,0.2482,564,6.114,2,1675,0.00021,0.9395,2,0,0,0,0,0,0,0,0,5,8927,575,1,648,980,3,645,13,0,0,0,0,1
D028,denial_of_service,12423,184.0,67.5163,0.0148,0.1935,635,6.389,1,1309,8e-05,1.0,2,0,0,0,0,0,0,0,0,1009,12423,0,1,257,781,0,257,10,0,0,0,0,1
D029,denial_of_service,8393,179.0,46.8883,0.0213,0.2841,972,9.96,2,1548,0.00024,0.9942,2,0,0,0,0,0,0,0,0,0,49,8344,0,17,401,1,16,3,0,0,0,0,0
D030,denial_of_service,11924,184.0,64.8043,0.0154,0.2001,674,6.274,3,1678,0.00025,0.9747,4,0,0,0,0,0,0,0,0,0,301,11622,0,22,1472,0,22,4,0,0,0,0,0
P001,post_exploitation,23,1.0,23.0,0.0455,0.2083,12,1.043,1,1,0.04348,1.0,2,0,1,6,0,1,0,6,0,0,0,0,0,1,0,0,1,1,1,1,1,0,0
P002,post_exploitation,28,0.0,28.0,0.0,0.0,28,1.0,1,1,0.03571,1.0,2,0,1,11,1,1,0,11,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0
P003,post_exploitation,22,1.0,22.0,0.0476,0.213,11,1.0,1,1,0.04545,1.0,2,0,1,5,1,1,0,5,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0
P004,post_exploitation,28,1.0,28.0,0.037,0.1889,16,1.143,1,1,0.03571,1.0,2,0,1,11,0,1,0,11,0,0,0,0,0,1,0,0,1,1,1,1,1,0,0
P005,post_exploitation,26,0.0,26.0,0.0,0.0,26,1.0,1,1,0.03846,1.0,2,0,1,9,1,1,0,9,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0
